122 199
1 2 12
1 3 10
2 4 3
2 5 9
3 4 2
3 5 8
4 6 9
4 7 6
5 6 5
5 7 4
6 8 16
6 9 7
7 8 9
7 9 10
8 10 10
8 11 12
9 10 11
9 11 17
10 12 15
10 13 8
11 12 9
11 13 3
12 14 12
12 15 10
13 14 7
13 15 8
14 16 11
14 17 4
15 16 5
15 17 15
16 18 13
16 19 3
17 18 11
17 19 7
18 20 10
18 21 5
19 20 10
19 21 9
20 22 8
20 23 3
21 22 6
21 23 4
22 24 4
22 25 10
23 24 17
23 25 11
24 26 6
24 27 3
25 26 17
25 27 10
26 28 8
26 29 9
27 28 9
27 29 7
28 30 10
28 31 3
29 30 6
29 31 8
30 32 7
30 33 10
31 32 3
31 33 5
32 34 7
32 35 7
33 34 4
33 35 8
34 36 9
34 37 10
35 36 8
35 37 6
36 38 4
36 39 8
37 38 4
37 39 13
38 40 2
38 41 6
39 40 7
39 41 10
40 42 9
40 43 11
41 42 12
41 43 10
42 44 7
42 45 8
43 44 10
43 45 7
44 46 4
44 47 14
45 46 16
45 47 11
46 48 6
46 49 6
47 48 8
47 49 3
48 50 3
48 51 8
49 50 6
49 51 10
50 52 9
50 53 3
51 52 11
51 53 7
52 54 9
52 55 8
53 54 10
53 55 2
54 56 8
54 57 6
55 56 3
55 57 8
56 58 7
56 59 9
57 58 6
57 59 10
58 60 9
58 61 7
59 60 7
59 61 11
60 62 15
60 63 7
61 62 7
61 63 8
62 64 9
62 65 4
63 64 7
63 65 2
64 66 8
64 67 9
65 66 3
65 67 6
66 68 9
66 69 6
67 68 7
67 69 4
68 70 3
68 71 11
69 70 18
69 71 10
70 72 5
70 73 2
71 72 7
71 73 4
72 74 3
72 75 8
73 74 3
73 75 5
74 76 8
74 77 6
75 76 5
75 77 10
76 78 8
76 79 2
77 78 10
77 79 11
78 80 8
78 81 16
79 80 2
79 81 6
1 82 9
82 83 4
83 84 8
84 85 3
85 86 11
86 87 7
87 88 2
88 89 4
89 90 10
90 91 7
91 92 3
92 93 9
93 94 4
94 95 9
95 96 5
96 97 9
97 98 3
98 99 10
99 100 16
100 101 10
101 102 9
102 103 8
103 104 7
104 105 9
105 106 3
106 107 8
107 108 7
108 109 7
109 110 4
110 111 6
111 112 9
112 113 8
113 114 6
114 115 19
115 116 7
116 117 9
117 118 7
118 119 8
119 120 4
120 121 10
121 122 17
